Program,Characteristic,Stakeholder,StakeholderPart,Weight,x,y
A400m,1a,1804,,1,3,NA
A400m,1b,1804,,1,5,NA
A400m,1c,1804,,1,5,NA
A400m,2,1804,,1,4,NA
A400m,3,1804,,1,5,3
A400m,4,1804,,1,6,NA
A400m,5,1804,,1,4,NA
A400m,6,1804,,1,5,NA
A400m,7,1804,,1,5,5
A400m,8,1804,,1,5,2
A400m,1a,8652,,1,4,NA
A400m,1b,8652,,1,4,NA
A400m,1c,8652,,1,5,NA
A400m,2,8652,,1,4,NA
A400m,3,8652,,1,5,3
A400m,4,8652,,1,NA,NA
A400m,5,8652,,1,5,NA
A400m,6,8652,,1,2,NA
A400m,7,8652,,1,4,3
A400m,8,8652,,1,4,6
A400m,1a,5298,,0.5,3,NA
A400m,1a,5298,,0.5,5,NA
A400m,1b,5298,,1,5,NA
A400m,1c,5298,,0.5,1,NA
A400m,1c,5298,,0.5,5,NA
A400m,2,5298,,0.5,2,NA
A400m,2,5298,,0.5,3,NA
A400m,3,5298,,0.5,5,3
A400m,3,5298,,0.5,6,3
A400m,4,5298,,1,NA,NA
A400m,5,5298,,1,NA,NA
A400m,6,5298,,1,3,NA
A400m,7,5298,,1,4,5
A400m,8,5298,,0.5,4,4
A400m,8,5298,,0.5,5,4
